StateAbbr,StateFull,percball12,percball14,percball16,percball18,percrej12,percrej14,percrej16,percrej18,voters12,voters14,voters16,voters18,regfac12,regfac14,regfac16,regfac18,balfac12,balfac14,balfac16,balfac18,regsyst12,regsyst14,regsyst16,regsyst18,lnpercball12,lnpercball14,lnpercball16,lnpercball18,lnpercrej12,lnpercrej14,lnpercrej16,lnpercrej18,lnvoters12,lnvoters14,lnvoters16,lnvoters18,voters12mill,voters14mill,voters16mill,voters18mill,absball12,absball14,absball16,absball18,absrej12,absrej14,absrej16,absrej18,perctranspost18,perctransemail18,perctransother18,emailballot18,postret18,emailret18,otherret18
AL,Alabama,59.09170001740038,82.09538702111024,38.1342062193126,32.03463203463203,4.934070608251808,3.930131004366813,4.133597883597884,1.273885350318471,3162135,2986782,3333946,3465352,1,1,2,2,1,1,3,3,Top-Down,Top-Down,Top-Down,Top-Down,4.0790906,4.4078817,3.6411116,3.4668176,1.5961643,1.3686727,1.4191482,.24207155,14.966758,14.909707,15.019667,15.058325,3.1600001,2.99,3.3299999,3,12.8,16.719999,10.03,8.6999998,,,,2.3,20.454546,75.324677,4.2207794,1,43.312103,53.662422,3.0254776
AK,Alaska,11.21910347716799,24.21259842519685,12.36303493901178,16.03163191948239,8.248395620989053,5.032467532467533,8.433592828497288,2.511415525114155,579304,574441,587303,624467,1,1,3,4,1,1,1,1,Bottom-Up,Bottom-Up,Bottom-Up,Top-Down,2.417618,3.1868732,2.5147109,2.7745638,2.1100187,1.6159104,2.1322229,.92084652,13.269583,13.261152,13.283297,13.344654,.57999998,.56999999,.58999997,1,15.45,24.950001,13.17,16.52,3.1600001,3.8,3.1700001,3.0999999,36.85598,,63.14402,0,,,
AR,Arkansas,14.65069860279441,33.62989323843416,16.90427698574338,50.97402597402597,8.746492048643592,2.144772117962467,10.73529411764706,12.05298013245033,1610364,1695208,1765513,1786840,1,1,1,3,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.6844881,3.5154154,2.8275666,3.9313161,2.1686528,.76303333,2.3735368,2.4893119,14.291971,14.343316,14.383952,14.395959,1.61,1.7,1.77,1.79,9.0799999,9.4799995,7.9499998,12.27,3.05,6.3099999,5.8600001,8.8400002,41.896023,56.42202,1.6819572,1,96.038254,3.2786884,.68306011
AZ,Arizona,28.56062325088874,63.14356997051485,18.32531671295983,38.37400041008817,.9528851244044468,3.384615384615385,2.770404777704047,.698719015138912,3725362,3802786,4080680,4276891,3,3,3,4,1,1,1,4,Hybrid,Hybrid,Hybrid,Hybrid,3.3520288,4.145411,2.9082835,3.6473801,-.048260923,1.2192403,1.0189935,-.35850659,15.130674,15.151244,15.221774,15.268737,3.73,3.8,4.0799999,4.2800002,19.67,42.130001,18.58,29.01,.80000001,.87,.52999997,.41999999,13.666039,86.090515,.24344362,1,10.776009,87.953239,1.2707556
CA,California,43.7559521160607,84.51273085392438,29.25338232837815,60.96745575944343,8.472457392432705,11.53901114604173,4.678203796392483,6.569692329776544,18996338,18139233,24486638,25103559,3,3,3,3,1,1,1,3,Bottom-Up,Bottom-Up,Bottom-Up,Bottom-Up,3.7786276,4.436902,3.3759952,4.1103401,2.1368206,2.4457335,1.5429143,1.882467,16.759756,16.713587,17.013638,17.038521,19,18.139999,24.49,25.1,29.370001,49.5,29.17,39.66,.88999999,1.9,.69,2,40.927212,55.833515,3.2392731,1,67.826874,.46106285,31.712063
CO,Colorado,30.37253879777038,64.50322178341301,40.22006472491909,45.59784299491859,3.651442723031734,1.785975699019177,1.619748809008229,2.05235735163299,3651091,3649105,3840303,3953613,3,3,3,4,1,1,2,3,Top-Down,Top-Down,Top-Down,Top-Down,3.4135389,4.1667151,3.694366,3.8198605,1.2951224,.57996488,.48227108,.71898907,15.110537,15.109992,15.161062,15.190141,3.6500001,3.6500001,3.8399999,3.95,12.49,34.970001,22.17,29.360001,.88,.75999999,.88,.77999997,31.487434,68.139236,.37332779,1,40.28466,58.882957,.83238024
CT,Connecticut,11.43245341614907,26.68463611859838,18.25396825396825,3.137254901960784,.9642778873548105,1.838235294117647,1.827527127355797,1.17776959882223,2202278,2160979,2331684,2369335,1,3,3,3,0,0,0,2,Top-Down,Top-Down,Top-Down,Top-Down,2.4364562,3.2840879,2.9043825,1.1433482,-.036375761,.60880601,.60296375,.16362248,14.605002,14.586072,14.662102,14.67812,2.2,2.1600001,2.3299999,2.3699999,8.6599998,8.3900003,,5.0799999,1.96,2.1400001,1.92,1.9,,,,0,,,
DC,District of Columbia,18.58887381275441,55.78313253012048,18.97546897546897,49.56794972505892,1.5,14.98637602179836,5.253784505788068,2.803738317757009,557774,456633,493287,617046,1,2,2,4,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.9225633,4.0214715,2.9431469,3.9033444,.4054651,2.7071416,1.6589487,1.0309536,13.231709,13.031635,13.108847,13.332699,.56,.46000001,.49000001,.62,28.200001,25.4,22.17,24.59,3.46,,.2,3.55,7.3841319,92.458755,.15710919,1,9.8130836,89.719627,.46728972
DE,Delaware,3.314917127071823,57.86163522012578,19.6,38.15566835871405,9.77142857142857,1.492537313432836,4.166666666666666,1.367989056087551,632805,642022,675663,695014,1,2,2,3,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,1.1984326,4.0580544,2.9755297,3.6416743,2.2794626,.40047756,1.4271164,.31334183,13.357918,13.372377,13.42345,13.451687,.63,.63999999,.68000001,.69999999,7.6300001,23.52,11.93,18.690001,1.23,1.34,1.54,4.9899998,13.790186,86.209816,0,1,17.236662,77.701775,5.0615597
FL,Florida,23.84853275883038,62.86947762267953,30.4326585186074,47.62005010420833,3.086891548122882,3.782652507557554,3.278425961289687,6.593384510268879,11934446,12689081,13505571,14126722,1,1,2,2,1,1,1,3,Hybrid,Hybrid,Hybrid,Top-Down,3.1717227,4.1410608,3.4155164,3.8632538,1.1271646,1.3304255,1.1873634,1.8860668,16.294939,16.356253,16.418613,16.463579,11.93,12.69,13.51,14.13,18.16,29.059999,21.709999,25.57,.89999998,1.02,.81999999,1.17,52.324589,44.701153,2.9742553,1,89.839638,.088420883,10.071942
GA,Georgia,34.53542845988679,3.400309119010819,27.36932488998605,33.44724947635321,2.400298173686172,,8.14245603664844,5.631936392247805,6050050,6029703,6657621,6944851,3,3,3,3,0,0,0,3,Top-Down,Top-Down,Top-Down,Top-Down,3.5419858,1.2238663,3.309423,3.5099695,.87559295,3.7574723,2.0970919,1.7284533,15.615577,15.612208,15.711273,15.753511,6.0500002,6.0300002,6.6599998,6.9400001,1.6799999,12.96,10.08,13.8,.039999999,3.9100001,6.4200001,3.0999999,,,,1,25.592182,74.407822,
HI,Hawaii,32.62103505843072,46.96132596685083,22.64260768335274,0,0,12.5,2.595936794582393,1.118568232662192,705668,708721,751483,756751,1,1,2,4,0,0,1,3,Top-Down,Top-Down,Top-Down,Top-Down,3.4849572,3.8493245,3.1198335,,,2.5257287,.95394742,.11204951,13.4669,13.471217,13.529804,13.53679,.70999998,.70999998,.75,.75999999,9.8100004,14.24,12.79,21.59,.69999999,.5,.64999998,.73000002,22.371365,77.628632,0,1,22.371365,77.628632,0
IA,Iowa,0,9.212730318257957,21.11943404078236,27.51862014896119,5.929327211020164,5.904059040590406,5.697705091005012,2.379664683612764,2236068,2142572,2222380,2193813,1,1,2,3,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,,2.2205863,3.0501935,3.314863,1.7799108,1.7756401,1.7400634,.86695957,14.62023,14.577518,14.614089,14.601151,2.24,2.1400001,2.22,2.1900001,7.0100002,10.28,3.1099999,9.3800001,1.1900001,1.55,.64999998,1.58,21.834574,78.087029,.078400627,1,75.890549,21.992773,2.1166754
ID,Idaho,7.545787545787546,26.54867256637169,15.14851485148515,21.95767195767196,13.58954041204437,10.12048192771084,14.85803189420459,6.666666666666667,895834,793709,936529,917609,1,1,1,3,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.0209894,3.2789798,2.7179024,3.0891166,2.6093004,2.3145614,2.6985407,1.89712,13.70551,13.584472,13.749936,13.729527,.89999998,.79000002,.94,.92000002,3.25,10.88,2.97,6.23,.57999998,.73000002,.44,1.58,42.416225,56.261024,1.3227513,1,98.531075,.79096043,.67796612
IL,Illinois,,54.48306398051804,,27.98726738491675,,2.383268482490272,,,8116660,8336548,8843038,8751060,3,3,3,4,2,1,1,2,Bottom-Up,Bottom-Up,Bottom-Up,Bottom-Up,,3.99789,,3.3317497,,.86847287,,,15.90943,15.93616,15.995141,15.984685,8.1199999,8.3400002,8.8400002,8.75,7.9299998,,11.94,15.97,1.4,,1.59,2.1700001,19.977703,76.075806,3.9464884,0,,,
